TIME,D16,D17,D19,D21,D22,D23,D26,R13,R14,R15,R18,R20,R24,R25
10/25/2016 7:00,-1.45829,0.897442667,0.526747,-0.022648195,0.955282,0.395475333,-0.218422333,19.82283333,2.40823,7.43954,6.798393333,21.2295,-1.938586667,15.96703333
10/25/2016 8:00,-1.165636667,0.884306667,1.38013,-0.036937067,0.968029,0.542318667,-0.214994667,15.98726667,1.426523333,12.21146667,10.69996667,23.73143333,-0.803529333,13.75553333
10/25/2016 9:00,-1.027996667,1.20025,2.237716667,-0.055404333,1.067303333,0.730982667,-0.199466333,12.92623333,0.340384867,16.35843333,13.8714,25.2459,0.09186,12.1005
10/25/2016 10:00,-1.0091,1.34057,2.934616667,-0.075064633,1.119036667,0.767878,-0.192963,10.70696667,-0.528675,19.1681,15.7856,25.43486667,0.677821,10.8477
10/25/2016 11:00,-1.028426667,1.436063333,3.234123333,-0.099577667,1.16166,0.657247333,-0.180216333,8.754653333,-1.285596667,19.69943333,15.52856667,24.2925,0.5758,9.68141
10/25/2016 12:00,-1.0875,1.292096667,3.12239,-0.140298333,1.172893333,0.575742333,-0.172432667,7.014173333,-1.82151,15.43373333,10.73485,20.3237,-0.405464667,8.45677
10/25/2016 13:00,-1.150766667,1.167956667,2.77265,-0.140994,1.186843333,0.541335667,-0.185185,5.720876667,-2.368813333,11.49163333,7.264603333,16.86323333,-1.608841667,7.395326667
10/25/2016 14:00,-1.27086,1.141023333,2.40619,-0.118551667,1.154046667,0.574218333,-0.181596333,4.61529,-2.924536667,8.472256667,5.0473,14.28636667,-3.738633333,6.503013333
10/25/2016 15:00,-1.421933333,1.131943333,1.870486667,-0.138642667,1.09772,0.514008667,-0.169457,3.721586667,-3.41521,6.01386,3.414253333,12.2536,-5.417073333,5.69618
10/25/2016 16:00,-1.570593333,0.977096333,1.37711,-0.124233333,1.11614,0.497801667,-0.187095,2.90828,-3.845873333,3.963313333,2.151946667,10.54266667,-6.67114,4.988836667
10/25/2016 17:00,-1.70873,0.816960333,0.896450333,-0.108620367,1.137473333,0.509961,-0.205345333,2.149976667,-4.24816,2.20414,1.081653333,9.04821,-7.60709,4.32999
10/25/2016 18:00,-1.838446667,0.612621667,0.382127333,-0.0895958,1.10551,0.543865,-0.226295333,1.462443333,-4.660453333,0.607932,0.145163667,7.694673333,-8.594896667,3.691106667
10/25/2016 19:00,-1.97797,0.293427,-0.078181987,-0.075058967,1.020054333,0.421624,-0.236783667,0.835450333,-5.101183333,-0.757216,-0.530517333,6.54105,-9.494056667,3.037893333
10/25/2016 20:00,-2.15168,-0.2764657,-0.560797667,-0.0671091,0.975633333,0.380483667,-0.22725,0.393576333,-5.49606,-1.8369,-1.032070667,5.542023333,-9.78507,2.484776667
10/25/2016 21:00,-2.352943333,-0.832758,-0.978497333,-0.063183133,0.895306333,0.184657067,-0.231108333,-0.005636933,-5.857676667,-2.83811,-1.56485,4.59718,-10.1361,2.01079
